x,numerical_real,numerical_imag,exact,error_abs
-6.3510306058713306e+00,1.3984064828382256e-09,1.9840046097533108e-10,1.3090327256697163e-09,2.1760149674494323e-10
-6.3410368519675204e+00,1.4733193971404981e-09,2.0342788004230083e-10,1.3947416297614261e-09,2.1807651846263568e-10
-6.3310430980637102e+00,1.5533528464717003e-09,2.0763749644458463e-10,1.4859139102196311e-09,2.1831477286841022e-10
-6.3210493441599001e+00,1.6388887094512070e-09,2.1101134229289808e-10,1.5828878942207666e-09,2.1831600464172232e-10
-6.3110555902560899e+00,1.7303306077173051e-09,2.1353453118713353e-10,1.6860222119369977e-09,2.1808308037519385e-10
-6.3010618363522797e+00,1.8281045705406837e-09,2.1519583955404069e-10,1.7956969736209251e-09,2.1762238326854610e-10
-6.2910680824484695e+00,1.9326603630401797e-09,2.1598732375536788e-10,1.9123150123718442e-09,2.1694344266841447e-10
-6.2810743285446593e+00,2.0444727196500304e-09,2.1590482074226516e-10,2.0363031960941953e-09,2.1605932688703583e-10
-6.2710805746408491e+00,2.1640429699978763e-09,2.1494713715169232e-10,2.1681138123375302e-09,2.1498568214432968e-10
-6.2610868207370389e+00,2.2918994142788026e-09,2.1311669553704086e-10,2.3082260298944525e-09,2.1374116190871836e-10
