x,numerical_real,numerical_imag,exact,error_abs
-6.2610868207370389e+00,2.2918838023380849e-09,2.1313628398693577e-10,2.3082260298944525e-09,2.1376188610990463e-10
-6.2510930668332296e+00,2.4285907042997990e-09,2.1043621399521274e-10,2.4571474412290470e-09,2.1236498624934677e-10
-6.2410993129294194e+00,2.5747274508641885e-09,2.0687799105444355e-10,2.6154156900141163e-09,2.1084125779326053e-10
-6.2311055590256093e+00,2.7309117316317181e-09,2.0247480089543881e-10,2.7836001882704001e-09,2.0921787318633622e-10
-6.2211118051217991e+00,2.8977947231521162e-09,1.9724299484835958e-10,2.9623039278268794e-09,2.0752406247112767e-10
-6.2111180512179889e+00,3.0760621775998461e-09,1.9120243063090080e-10,3.1521653910570212e-09,2.0579132289208112e-10
-6.2011242973141787e+00,3.2664368658311578e-09,1.8437641926319855e-10,3.3538605660934875e-09,2.0405285429975349e-10
-6.1911305434103685e+00,3.4696803078042994e-09,1.7679145120573585e-10,3.5681050719822310e-09,2.0234290554133970e-10
-6.1811367895065583e+00,3.6865947395723826e-09,1.6847682796039022e-10,3.7956563995084316e-09,2.0069600700462708e-10
-6.1711430356027481e+00,3.9180254234524768e-09,1.5946487131155805e-10,4.0373162737099427e-09,1.9914655944193695e-10
-6.1611492816989379e+00,4.1648623087826401e-09,1.4979075219906637e-10,4.2939331443909814e-09,1.9772847556433938e-10
-6.1511555277951278e+00,4.4280438578933775e-09,1.3949235555414731e-10,4.5664048112593138e-09,1.9647358772714323e-10
-6.1411617738913176e+00,4.7085578742864544e-09,1.2861047444300054e-10,4.8556811906350489e-09,1.9541219089366537e-10
-6.1311680199875074e+00,5.0074461418694016e-09,1.1718813906350227e-10,5.1627672310193895e-09,1.9457055448321371e-10
-6.1211742660836981e+00,5.3258060335349718e-09,1.0527073267839731e-10,5.4887259851664868e-09,1.9397122930543531e-10
-6.1111805121798879e+00,5.6647939637336047e-09,9.2905400791564515e-11,5.8346818466743883e-09,1.9363188339305753e-10
-6.1011867582760777e+00,6.0256287734915195e-09,8.0141389338731845e-11,6.2018239594982850e-09,1.9356493963809895e-10
-6.0911930043722675e+00,6.4095951959297709e-09,6.7029777585176769e-11,6.5914098091973534e-09,1.9377704890094403e-10
-6.0811992504684573e+00,6.8180470347230167e-09,5.3623158845855448e-11,7.0047690051496134e-09,1.9426923947089182e-10
-6.0712054965646471e+00,7.2524120603111529e-09,3.9975563658102729e-11,7.4433072634144794e-09,1.9503595631996494e-10
-6.0612117426608370e+00,7.7141950057227644e-09,2.6141724212653724e-11,7.9085106003852819e-09,1.9606616249077308e-10
-6.0512179887570268e+00,8.2049826170288785e-09,1.2177522039159617e-11,8.4019497478601378e-09,1.9734321034915952e-10
-6.0412242348532166e+00,8.7264475671336479e-09,-1.8608074774888594e-12,8.9252848006642313e-09,1.9884594047293007e-10
-6.0312304809494064e+00,9.2803539646670824e-09,-1.5916516441111135e-11,9.4802701084869422e-09,2.0054874732947847e-10
-6.0212367270455962e+00,9.8685615852682026e-09,-2.9932579703629908e-11,1.0068759424148307e-08,2.0242315583939133e-10
-6.0112429731417860e+00,1.0493032245108303e-08,-4.3852037216699984e-11,1.0692711321086679e-08,2.0443760552215655e-10
-6.0012492192379758e+00,1.1155834944722462e-08,-5.7618037926793400e-11,1.1354194893460965e-08,2.0655872665679064e-10
-5.9912554653341665e+00,1.1859151909454108e-08,-7.1174730424018005e-11,1.2055395752890097e-08,2.0875221756297730e-10
-5.9812617114303563e+00,1.2605285222804497e-08,-8.4466716739204485e-11,1.2798622336507014e-08,2.1098309356799411e-10
-5.9712679575265462e+00,1.3396662495517274e-08,-9.7439782382012239e-11,1.3586312541690196e-08,2.1321738016410705e-10
-5.9612742036227360e+00,1.4235845459412624e-08,-1.1004098540220138e-10,1.4421040703548911e-08,2.1542120814577755e-10
-5.9512804497189258e+00,1.5125536155914807e-08,-1.2221823934573450e-10,1.5305524931984342e-08,2.1756207743947540e-10
-5.9412866958151156e+00,1.6068585590862669e-08,-1.3392180820475243e-10,1.6242634825924560e-08,2.1960916861201386e-10
-5.9312929419113054e+00,1.7068000849411986e-08,-1.4510348617077734e-10,1.7235399583143548e-08,2.2153410065685926e-10
-5.9212991880074952e+00,1.8126954766268941e-08,-1.5571741153915378e-10,1.8287016524917013e-08,2.2331072262201831e-10
-5.9113054341036850e+00,1.9248794023544257e-08,-1.6571968973384780e-10,1.9400860055652028e-08,2.2491574797351237e-10
-5.9013116801998748e+00,2.0437049448234492e-08,-1.7506929179083717e-10,2.0580491078542328e-08,2.2632887185137330e-10
-5.8913179262960647e+00,2.1695445396903380e-08,-1.8372714224173496e-10,2.1829666889261633e-08,2.2753257306854189e-10
-5.8813241723922545e+00,2.3027910856028325e-08,-1.9165710681986431e-10,2.3152351570702501e-08,2.2851244618878086e-10
-5.8713304184884443e+00,2.4438590424374700e-08,-1.9882598785727832e-10,2.4552726912808738e-08,2.2925730400464029e-10
-5.8613366645846350e+00,2.5931855118293333e-08,-2.0520376723185302e-10,2.6035203882631118e-08,2.2975977275470037e-10
-5.8513429106808248e+00,2.7512315720680162e-08,-2.1076334302015284e-10,2.7604434670866366e-08,2.3001540762400889e-10
-5.8413491567770146e+00,2.9184834735255118e-08,-2.1548109563512352e-10,2.9265325342309058e-08,2.3002356487982943e-10
-5.8313554028732044e+00,3.0954540159778499e-08,-2.1933628805526530e-10,3.1023049118874448e-08,2.2978660695147751e-10
-5.8213616489693942e+00,3.2826839719626829e-08,-2.2231187482648978e-10,3.2883060325120127e-08,2.2931054526755176e-10
-5.8113678950655840e+00,3.4807435750990136e-08,-2.2439430066868289e-10,3.4851109027520151e-08,2.2860480584505298e-10
-5.8013741411617739e+00,3.6902340010607365e-08,-2.2557358885199133e-10,3.6933256400125374e-08,2.2768238212122712e-10
-5.7913803872579637e+00,3.9117890678599603e-08,-2.2584365590136255e-10,3.9135890850677815e-08,2.2655984442468676e-10
-5.7813866333541535e+00,4.1460769113082861e-08,-2.2520170731435463e-10,4.1465744942743078e-08,2.2525667106238550e-10
-5.7713928794503433e+00,4.3938017926320996e-08,-2.2364888551888631e-10,4.3929913150972796e-08,2.2379569114995202e-10
