x,y,numerical_real,numerical_imag,density
-2.5619834710743801e+00,-8.1818181818181817e+00,2.4041677626539959e-04,2.2939853489804568e-04,1.1042391412321708e-07
-2.3966942148760331e+00,-8.1818181818181817e+00,2.8273822828737120e-04,2.1879301583598655e-04,1.2781128951368789e-07
-2.2314049586776861e+00,-8.1818181818181817e+00,3.3333689297495363e-04,2.0193927060871262e-04,1.5189295323217457e-07
-2.0661157024793386e+00,-8.1818181818181817e+00,3.9269907705288544e-04,1.7633154018493227e-04,1.8530537718217844e-07
-1.9008264462809918e+00,-8.1818181818181817e+00,4.5796667143151312e-04,1.3989434841025220e-04,2.2930390085918854e-07
-1.7355371900826446e+00,-8.1818181818181817e+00,5.2122461424985143e-04,9.3945399638991627e-05,2.8050083661323626e-07
-1.5702479338842976e+00,-8.1818181818181817e+00,5.7818798668165454e-04,3.9009424202120769e-05,3.3582308311956612e-07
-1.4049586776859504e+00,-8.1818181818181817e+00,6.2192437537663596e-04,-2.1053350463567445e-05,3.8723317225336060e-07
-1.2396694214876034e+00,-8.1818181818181817e+00,6.5214628051559517e-04,-8.5901333836314891e-05,4.3267381034518337e-07
-1.0743801652892562e+00,-8.1818181818181817e+00,6.6351059759169636e-04,-1.5248889844983893e-04,4.6349917726693531e-07
-9.0909090909090906e-01,-8.1818181818181817e+00,6.6457868187724996e-04,-2.2253108490270904e-04,4.9118490815367967e-07
-7.4380165289256195e-01,-8.1818181818181817e+00,6.6512735353228890e-04,-3.0604577620015408e-04,5.3605841354682124e-07
-5.7851239669421484e-01,-8.1818181818181817e+00,6.6412600262367040e-04,-4.0530275238108513e-04,6.0533366844857870e-07
-4.1322314049586778e-01,-8.1818181818181817e+00,6.4669229279167495e-04,-5.1315006266940545e-04,6.8153390837376825e-07
-2.4793388429752067e-01,-8.1818181818181817e+00,6.1102861322559043e-04,-6.0755465650290364e-04,7.4247862681874941e-07
-8.2644628099173556e-02,-8.1818181818181817e+00,5.6774801510446908e-04,-6.6918741207461002e-04,7.7014960113417836e-07
8.2644628099173556e-02,-8.1818181818181817e+00,5.1184141882692526e-04,-7.3587816488779724e-04,8.0349831158539202e-07
2.4793388429752067e-01,-8.1818181818181817e+00,4.4649898709665521e-04,-8.0593430422624956e-04,8.4889144820698810e-07
4.1322314049586778e-01,-8.1818181818181817e+00,3.8347166395883195e-04,-8.3465377771755115e-04,8.4369744571753454e-07
5.7851239669421484e-01,-8.1818181818181817e+00,3.1265104465619427e-04,-8.3748686959535560e-04,7.9913493246923781e-07
7.4380165289256195e-01,-8.1818181818181817e+00,2.4725668545312038e-04,-8.3085137039067805e-04,7.5144986818133098e-07
9.0909090909090906e-01,-8.1818181818181817e+00,1.9667869769711801e-04,-8.2321706790996747e-04,7.1636885102611838e-07
1.0743801652892562e+00,-8.1818181818181817e+00,1.5680342877376585e-04,-8.1104113616534764e-04,6.8237503982758740e-07
1.2396694214876034e+00,-8.1818181818181817e+00,1.1409108267710582e-04,-7.8601251362870282e-04,6.3083244672734594e-07
1.4049586776859504e+00,-8.1818181818181817e+00,6.5064956963336630e-05,-7.4256350270414438e-04,5.5563400417288866e-07
1.5702479338842976e+00,-8.1818181818181817e+00,1.4581027885214538e-05,-6.8653825348927828e-04,4.7154737987829792e-07
1.7355371900826446e+00,-8.1818181818181817e+00,-3.7123506755878407e-05,-6.1960029981485360e-04,3.8528268628451024e-07
1.9008264462809918e+00,-8.1818181818181817e+00,-8.3483037544329353e-05,-5.4800365963983617e-04,3.0727742853628130e-07
2.0661157024793386e+00,-8.1818181818181817e+00,-1.2363118998297902e-04,-4.7633475691418473e-04,2.4217947178110292e-07
2.2314049586776861e+00,-8.1818181818181817e+00,-1.5330702816191403e-04,-4.1161845010907955e-04,1.9293279335403872e-07
2.3966942148760331e+00,-8.1818181818181817e+00,-1.7487097271124595e-04,-3.5647827462715210e-04,1.5765661737812859e-07
2.5619834710743801e+00,-8.1818181818181817e+00,-1.8973759500699435e-04,-3.0970293573799997e-04,1.3191626336377395e-07
2.7272727272727271e+00,-8.1818181818181817e+00,-2.0192774849441767e-04,-2.6626956699884791e-04,1.1167429792177875e-07
2.8925619834710745e+00,-8.1818181818181817e+00,-2.0887144051688091e-04,-2.2671406465256670e-04,9.5026545774885114e-08
3.0578512396694215e+00,-8.1818181818181817e+00,-2.1146620207062125e-04,-1.9399521564927055e-04,8.2352098312979806e-08
3.2231404958677685e+00,-8.1818181818181817e+00,-2.0995987914442947e-04,-1.6903238958516649e-04,7.2655099579214933e-08
3.3884297520661155e+00,-8.1818181818181817e+00,-2.0810022051059832e-04,-1.4741071519139195e-04,6.5035620729797313e-08
3.5537190082644630e+00,-8.1818181818181817e+00,-2.0477221989625115e-04,-1.2780183863820600e-04,5.8264972000544679e-08
3.7190082644628100e+00,-8.1818181818181817e+00,-2.0083227918433138e-04,-1.1130937680895302e-04,5.2723381727970708e-08
3.8842975206611570e+00,-8.1818181818181817e+00,-1.9552664985472620e-04,-9.9373545207931440e-05,4.8105772290605491e-08
4.0495867768595044e+00,-8.1818181818181817e+00,-1.9136226363325939e-04,-8.8338991806642653e-05,4.4423293416259146e-08
