x,y,numerical_real,numerical_imag,exact,error_abs
5.4876033057851243e+00,-8.0000000000000000e+00,-2.1893246496775288e-16,8.3041768380619743e-17,2.0647868259904841e-21,2.3415435852155108e-16
5.6198347107438016e+00,-8.0000000000000000e+00,-1.1050920236425657e-16,3.8772352059542522e-17,9.9069448866501918e-22,1.1711446560570668e-16
5.7520661157024797e+00,-8.0000000000000000e+00,-4.7867399530324643e-17,2.4125349710465771e-17,4.6710075750510427e-22,5.3603779292726543e-17
5.8842975206611570e+00,-8.0000000000000000e+00,-2.4033680707069522e-17,1.6072925793413430e-17,2.1641516717014830e-22,2.8913096590348671e-17
6.0165289256198351e+00,-8.0000000000000000e+00,-8.7143105146431506e-18,1.2833201466897959e-17,9.8530597309187145e-23,1.5512317199495395e-17
6.1487603305785123e+00,-8.0000000000000000e+00,-1.2697071450527641e-17,7.5674274426053879e-18,4.4081953785258444e-23,1.4781160338223729e-17
6.2809917355371905e+00,-8.0000000000000000e+00,-8.9928114745730272e-19,1.1087007566948038e-17,1.9380137434271475e-23,1.1123420257658847e-17
6.4132231404958677e+00,-8.0000000000000000e+00,4.1131686466155606e-18,4.0494199194996509e-18,8.3725773484454686e-24,5.7719917813841921e-18
6.5454545454545459e+00,-8.0000000000000000e+00,6.9675085921170495e-18,1.5976152828314987e-17,3.5544121311418460e-24,1.7429388561969706e-17
6.6776859504132231e+00,-8.0000000000000000e+00,9.2432840371908482e-19,1.1695831605308760e-17,1.4828004010453765e-24,1.1732299740309838e-17
6.8099173553719012e+00,-8.0000000000000000e+00,-4.1267854687870470e-19,1.5476837166885881e-17,6.0786047542157956e-25,1.5482338091356114e-17
6.9421487603305785e+00,-8.0000000000000000e+00,-7.8516354977886298e-19,8.6525671831866328e-18,2.4486765052267934e-25,8.6881183834005144e-18
7.0743801652892566e+00,-8.0000000000000000e+00,2.5167766836119389e-18,1.1862211946049698e-17,9.6931564258395607e-26,1.2126262269976957e-17
7.2066115702479339e+00,-8.0000000000000000e+00,2.5672378853451962e-18,1.5255495930162427e-17,3.7705554043008103e-26,1.5469998908906097e-17
7.3388429752066120e+00,-8.0000000000000000e+00,9.8113748879894058e-18,4.5771744247365559e-18,1.4412911842345775e-26,1.0826523108750592e-17
7.4710743801652892e+00,-8.0000000000000000e+00,1.0241482921837196e-17,5.9322567906940950e-18,5.4138277278604997e-27,1.1835524616937261e-17
7.6033057851239674e+00,-8.0000000000000000e+00,-7.0724419164369879e-18,1.6929968414907909e-17,1.9983126248189555e-27,1.8347840887129477e-17
7.7355371900826446e+00,-8.0000000000000000e+00,1.8612729857426784e-18,1.0352564781634438e-17,7.2481760023640762e-28,1.0518551928982192e-17
7.8677685950413228e+00,-8.0000000000000000e+00,-2.4201025674893441e-18,2.0863333856841135e-17,2.5834515846411784e-28,2.1003228229499212e-17
-8.0000000000000000e+00,-7.8677685950413228e+00,8.2338195351046483e-19,2.1292533323224971e-17,2.5834515846411784e-28,2.1308447460140945e-17
-7.8677685950413228e+00,-7.8677685950413228e+00,-7.6062257206368974e-18,2.6406209066138182e-17,7.3760258863813081e-28,2.7479857113331165e-17
-7.7355371900826446e+00,-7.8677685950413228e+00,2.0891663580605514e-18,1.5420514907176561e-17,2.0694304526674833e-27,1.5561391199550887e-17
-7.6033057851239674e+00,-7.8677685950413228e+00,-9.4068272908820979e-18,2.3487198406199121e-17,5.7053926372668642e-27,2.5300926638366154e-17
-7.4710743801652892e+00,-7.8677685950413228e+00,1.3898239474345108e-18,1.5072339675019683e-17,1.5457047348016993e-26,1.5136282034934130e-17
-7.3388429752066120e+00,-7.8677685950413228e+00,-4.6555718440311726e-18,1.6631633192736775e-17,4.1150378617232932e-26,1.7270945898700410e-17
-7.2066115702479339e+00,-7.8677685950413228e+00,-9.8113962575974199e-18,2.4485170797251586e-17,1.0765332098151453e-25,2.6377776396175574e-17
-7.0743801652892566e+00,-7.8677685950413228e+00,-7.1268262149183336e-18,3.0179583325534900e-17,2.7674980689706559e-25,3.1009658262309940e-17
-6.9421487603305785e+00,-7.8677685950413228e+00,-1.6833937911629910e-17,2.6215574903753622e-17,6.9912288650206210e-25,3.1155061493839339e-17
-6.8099173553719012e+00,-7.8677685950413228e+00,-1.2891873376629542e-17,2.7090997990455775e-17,1.7355055649863819e-24,3.0002043530829150e-17
-6.6776859504132231e+00,-7.8677685950413228e+00,-4.8568862790342692e-18,3.2626807080616935e-17,4.2335510398064795e-24,3.2986329376380096e-17
-6.5454545454545459e+00,-7.8677685950413228e+00,-1.3219765647609175e-17,3.0516811125158172e-17,1.0148220328971869e-23,3.3257153115391241e-17
-6.4132231404958677e+00,-7.8677685950413228e+00,-9.6262871514881054e-18,2.5750109702560955e-17,2.3904588584129020e-23,2.7490616839974111e-17
-6.2809917355371905e+00,-7.8677685950413228e+00,-1.5203609702648727e-17,3.1669695887551606e-17,5.5332329913458875e-23,3.5130059323972611e-17
-6.1487603305785123e+00,-7.8677685950413228e+00,-1.9211025451540385e-17,3.0992618977831278e-17,1.2585861263101297e-22,3.6463828183099772e-17
