x,y,numerical_real,numerical_imag,exact,error_abs
7.2727272727272663e-01,-8.0000000000000000e+00,-6.5100536850669411e-08,-1.1692923837425295e-08,5.4846245555028290e-15,6.6142309305143189e-08
8.5950413223140565e-01,-8.0000000000000000e+00,-5.8616834203598174e-08,-1.0528364521426382e-08,4.9383821389605361e-15,5.9554851107972933e-08
9.9173553719008289e-01,-8.0000000000000000e+00,-5.1864052290652001e-08,-9.3154749587681784e-09,4.3694701915372938e-15,5.2694007694915393e-08
1.1239669421487601e+00,-8.0000000000000000e+00,-4.5093799767327741e-08,-8.0994473364439620e-09,3.7990863684312332e-15,4.5815414079130298e-08
1.2561983471074392e+00,-8.0000000000000000e+00,-3.8527738397128732e-08,-6.9200952144137221e-09,3.2459053456046153e-15,3.9144279197462997e-08
1.3884297520661164e+00,-8.0000000000000000e+00,-3.2347185501437193e-08,-5.8099855734162208e-09,2.7252028447217199e-15,3.2864821900217024e-08
1.5206611570247937e+00,-8.0000000000000000e+00,-2.6687370167659344e-08,-4.7934073579732513e-09,2.2483717211476510e-15,2.7114435280333753e-08
1.6528925619834709e+00,-8.0000000000000000e+00,-2.1636218515266652e-08,-3.8861532432598636e-09,1.8228196149797326e-15,2.1982452491665184e-08
1.7851239669421481e+00,-8.0000000000000000e+00,-1.7237061727378231e-08,-3.0960060815971897e-09,1.4521971178888147e-15,1.7512898124352778e-08
1.9173553719008272e+00,-8.0000000000000000e+00,-1.3494332656490912e-08,-2.4237620765586380e-09,1.1368776950986903e-15,1.3710275968433817e-08
2.0495867768595044e+00,-8.0000000000000000e+00,-1.0381159966869686e-08,-1.8645947440747071e-09,8.7459747595233006e-16,1.0547284673129962e-08
2.1818181818181817e+00,-8.0000000000000000e+00,-7.8477770084849410e-09,-1.4095653698389014e-09,6.6116368509314821e-16,7.9733612036634016e-09
2.3140495867768607e+00,-8.0000000000000000e+00,-5.8298009580930815e-09,-1.0471099454403794e-09,4.9115216392137718e-16,5.9230924503558200e-09
